"","SRR11647685","SRR11647686","SRR11647687","SRR11647695","SRR11647696","SRR11647697"
"ENSG00000310526.1",5.25965323064023,5.61285327759753,5.80926757432951,5.64553690118279,5.11386095566526,4.4140522738678
"ENSG00000241860.8",3.20448759227673,3.20448759227673,4.25494920623463,4.4957888115003,3.97095235095856,3.71028626417903
"ENSG00000233750.3",4.07852229288954,4.28077380410056,3.20448759227673,4.08084467490131,3.97095235095856,3.20448759227673
"ENSG00000308579.1",4.32204544747478,4.46702883748123,4.71514315162187,5.72181505123301,4.74465458050146,4.58872844209527
"ENSG00000269981.1",4.20883704298722,3.89449094203214,4.66051384873074,5.18030366918138,3.20448759227673,4.31376170434831
"ENSG00000310527.1",5.39207032703374,5.32011737105391,6.4184534483586,6.64397705163469,4.98827747962614,4.80697630767269
"ENSG00000292994.2",3.92168993085645,3.89449094203214,4.25494920623463,3.20448759227673,3.83271405382899,3.91622432200816
"ENSG00000290385.2",4.20883704298722,3.20448759227673,4.99768462663289,5.64553690118279,4.27639885326691,3.20448759227673
"ENSG00000225880.7",6.04402333050015,6.23524887178049,6.51663112704811,6.56528935266747,5.75910718749965,4.87134223009766
"ENSG00000225972.1",6.69569195930599,6.48353722013751,7.0143646377034,6.76613957935068,5.68399664479166,7.05978407253702
"ENSG00000225630.1",11.4587960114058,10.6670537260096,11.3625803276118,11.3745068749309,10.3169618278133,11.1844343777619
"ENSG00000237973.1",14.1481410913828,9.95249790526608,9.78506905323141,14.6756132958089,8.95660914700287,9.8225646587836
"ENSG00000229344.1",6.52240796543259,6.1039199838466,6.34388987287485,6.21502269140793,5.49051720235458,6.3486884460148
"ENSG00000240409.1",4.94449365963126,5.2354241359643,5.50806610480394,5.35439734674028,4.63068960217118,4.93238303145026
"ENSG00000248527.1",14.1511868270074,13.9581502851755,14.8272935647939,14.2692828093337,13.2701743952003,15.2255297990656
"ENSG00000198744.5",5.8789854584227,5.61285327759753,5.99821206691908,5.9065122905145,5.42965469954889,6.28571839773699
"ENSG00000237491.11",4.81837282675263,5.43762409317677,5.58991388529488,5.32140776678649,5.07339945090518,4.31376170434831
"ENSG00000177757.3",3.20448759227673,3.89449094203214,4.40912737382042,3.82885295922841,4.27639885326691,4.20132552544726
"ENSG00000228794.13",7.01570875708947,8.11985372717886,7.48931441514729,6.99291026205931,7.74322070248838,7.83726386444953
"ENSG00000272438.2",3.20448759227673,6.63295514554746,4.40912737382042,4.18068797538561,6.19400631322343,4.87134223009766
"ENSG00000223764.3",4.88310934143014,4.99504587743246,5.80926757432951,4.18068797538561,4.79759675044398,5.19879354311828
"ENSG00000187634.14",4.51462482048822,5.04697438487201,4.95501956113794,4.78854633554978,4.98827747962614,6.36906676449789
"ENSG00000188976.12",9.03038168628377,9.31815382067473,8.98294233567048,9.16760149358397,9.24966806589183,9.36238789641872
"ENSG00000187961.16",6.74380267435226,6.70962685405565,6.05585233260365,6.55173899638034,6.31322936974738,6.42848952008061
"ENSG00000187583.12",8.22095061314475,8.1529451474546,8.16115381498359,6.8894083439296,6.51093539227108,5.53500478939607
"ENSG00000187642.11",4.42300633790952,4.69495571713648,4.66051384873074,3.82885295922841,3.97095235095856,3.20448759227673
"ENSG00000303599.1",3.20448759227673,4.46702883748123,4.16680776179013,3.96627658271108,3.65045114690801,3.20448759227673
"ENSG00000272512.1",3.92168993085645,5.2354241359643,4.60303945256248,3.96627658271108,4.43339899728814,4.6663226726421
"ENSG00000188290.12",5.55008930469284,6.66412262344296,5.11744723314561,5.21706396860234,6.78139891101158,6.57570778819964
"ENSG00000303623.1",3.92168993085645,4.04567675336828,3.81978440788196,3.82885295922841,3.65045114690801,3.91622432200816
"ENSG00000187608.11",7.31973502284367,7.50224912759646,6.4184534483586,8.00831578141935,11.9678975739739,10.0561302207472
"ENSG00000188157.16",8.46377169940821,8.79017916140059,9.14358930123062,10.6760700639466,8.78712105548281,8.87428292243204
"ENSG00000291156.2",6.46599739529895,6.85157574695557,6.11119449869959,4.62244246527487,4.94338448305233,3.71028626417903
"ENSG00000273443.2",3.71420922273448,4.17142669389946,4.16680776179013,3.82885295922841,3.20448759227673,3.20448759227673
"ENSG00000217801.13",5.1119859035246,5.04697438487201,4.60303945256248,3.82885295922841,3.65045114690801,3.20448759227673
"ENSG00000304119.1",6.94902888468586,6.94313997807945,6.7065433490174,4.88724735456306,4.50339408566583,3.20448759227673
"ENSG00000304169.1",4.42300633790952,4.69495571713648,4.16680776179013,3.64768922233784,3.20448759227673,3.20448759227673
"ENSG00000237330.3",8.22656711974872,7.96073769037823,7.0143646377034,4.78854633554978,6.42311745197994,3.71028626417903
"ENSG00000131591.19",6.48505229775018,7.30003941475772,6.62107253006691,6.81220891433895,6.81615168366962,6.52228164122671
"ENSG00000285812.1",5.00290196029797,4.94080826796829,4.91079272490133,4.2699972330958,4.68912687484386,4.4140522738678
"ENSG00000207730.3",3.20448759227673,3.89449094203214,4.25494920623463,3.96627658271108,3.20448759227673,3.20448759227673
"ENSG00000198976.1",4.07852229288954,4.04567675336828,4.40912737382042,4.42615702803377,3.65045114690801,3.20448759227673
"ENSG00000272141.1",5.62257805600328,6.66412262344296,5.71612939893266,6.48196872346153,5.49051720235458,4.07192474765923
"ENSG00000162571.15",3.20448759227673,3.89449094203214,3.95529216624375,6.93171447902562,3.83271405382899,3.71028626417903
"ENSG00000186891.14",5.1119859035246,5.27846648499946,4.4779017452831,7.06114022663342,6.48226538645996,6.1505976292632
"ENSG00000186827.12",4.74982229674447,4.28077380410056,4.16680776179013,5.9065122905145,6.42311745197994,6.83094006215864
"ENSG00000078808.21",9.41656687145328,9.60171625310395,9.25633753182239,9.93697309936234,10.3595101228786,10.6431650328923
"ENSG00000176022.7",6.40723839033672,6.48353722013751,6.44720792518176,6.91071831247883,6.99851625692222,7.97510522383607
"ENSG00000184163.3",4.81837282675263,5.04697438487201,3.81978440788196,7.68414538010377,3.97095235095856,4.58872844209527
"ENSG00000260179.1",3.20448759227673,4.04567675336828,4.4779017452831,3.96627658271108,3.65045114690801,3.91622432200816
